IRIS|NOM_COM|CODE_IRIS|NOM_IRIS|iris_centroid|longitude|latitude|iris_radius|iris_radius_degrees|geojson
5205|Paris 13e Arrondissement|751135205|Croulebarbe 5|POINT(2.34332416379979 48.8325924254195)|2.3433241637997857|48.83259242541946|135.83880717878105|0.0015034283661183164|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.34162966472767,48.8321644267383],[2.34166367540428,48.8330634458314],[2.34173997585382,48.833278365779],[2.34216098100378,48.8334473354947],[2.343381323772,48.8337958020104],[2.34491682103995,48.8342179319656],[2.34448452892552,48.8317602808973],[2.34435611450173,48.8311390102066],[2.34427619406919,48.8309946724605],[2.34352439643557,48.8311974039554],[2.34168268732935,48.8317629691127],[2.34162966472767,48.8321644267383]]]]}"
5206|Paris 13e Arrondissement|751135206|Croulebarbe 6|POINT(2.34340617139737 48.8358874803356)|2.343406171397369|48.835887480335614|192.31001214610092|0.0021285061596187298|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.34166367540428,48.8330634458314],[2.34169768611829,48.8339625541239],[2.34173169914122,48.8348615717538],[2.34176571220176,48.8357606785824],[2.34176641142403,48.8357808282949],[2.34186339539621,48.8366778525676],[2.34196038157108,48.8375749659725],[2.34203846359475,48.8382969577943],[2.34333995961933,48.8380310618513],[2.34464144349592,48.8377650617541],[2.34489742191335,48.837712771728],[2.34549640279598,48.8375458004709],[2.34529986849532,48.8362606976467],[2.3450586640822,48.8349642861381],[2.34491682103995,48.8342179319656],[2.343381323772,48.8337958020104],[2.34216098100378,48.8334473354947],[2.34173997585382,48.833278365779],[2.34166367540428,48.8330634458314]]]]}"
5204|Paris 13e Arrondissement|751135204|Croulebarbe 4|POINT(2.34605461341391 48.8330651744966)|2.3460546134139055|48.83306517449659|161.7442571760532|0.0017901520213481348|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.34826382242609,48.8356572194158],[2.34797175547929,48.8349361326485],[2.34704520113344,48.8327725901323],[2.34602383216768,48.8306804672379],[2.34597137661963,48.8305182933081],[2.34427619406919,48.8309946724605],[2.34435611450173,48.8311390102066],[2.34448452892552,48.8317602808973],[2.34491682103995,48.8342179319656],[2.34555470908875,48.8344102915769],[2.34606920839592,48.8346649290578],[2.34635043494968,48.8350531950391],[2.34826382242609,48.8356572194158]]]]}"
5207|Paris 13e Arrondissement|751135207|Croulebarbe 7|POINT(2.34736273977668 48.8362243208665)|2.3473627397766834|48.83622432086654|159.200049324446|0.0017620476059620053|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35187077203516,48.8368046254944],[2.35115442151532,48.8365633088294],[2.35019133697643,48.8362244152859],[2.34964843410132,48.8360595784548],[2.348603159061,48.8357579984239],[2.34826382242609,48.8356572194158],[2.34635043494968,48.8350531950391],[2.34606920839592,48.8346649290578],[2.34555470908875,48.8344102915769],[2.34491682103995,48.8342179319656],[2.3450586640822,48.8349642861381],[2.34529986849532,48.8362606976467],[2.34549640279598,48.8375458004709],[2.34489742191335,48.837712771728],[2.34620114382728,48.8374517134488],[2.3471442690706,48.8372627812526],[2.34849186389867,48.837130457059],[2.34983931452997,48.8369982068582],[2.35118689567522,48.8368658522714],[2.35171806895176,48.8368136910151],[2.35187077203516,48.8368046254944]]]]}"
4905|Paris 13e Arrondissement|751134905|Salpetriere 5|POINT(2.35500887614768 48.8349648563628)|2.3550088761476777|48.83496485636277|182.8641861659834|0.0020239452626850084|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35187077203516,48.8368046254944],[2.35171806895176,48.8368136910151],[2.35298329019102,48.8371471915998],[2.35308011410299,48.8371727176927],[2.35313772711571,48.8371411916861],[2.35338627664728,48.8367642618265],[2.35474532806726,48.8359351893436],[2.35518996470224,48.8362253847175],[2.35627573089058,48.8366719227992],[2.35778147870424,48.8372016493547],[2.35836340054779,48.8364133297186],[2.35803946921783,48.8362766865839],[2.35619311299272,48.8355292816275],[2.35615246648055,48.8355110754847],[2.35482647756553,48.8348824671285],[2.35559745469971,48.8342309835542],[2.35693082437124,48.8332668411156],[2.35684997821277,48.8331944568464],[2.35655493919971,48.8328160340389],[2.35588495337554,48.8319121580555],[2.35557709610037,48.8314698079449],[2.35535403114395,48.8318823164909],[2.35475659985564,48.8328234339093],[2.35259559786957,48.8358156490396],[2.35187077203516,48.8368046254944]]]]}"
5124|Paris 13e Arrondissement|751135124|Maison Blanche 24|POINT(2.35553538852002 48.8290933301202)|2.355535388520021|48.82909333012017|180.82017207848403|0.0020011989603577595|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35629309365719,48.8308530974633],[2.35634846863777,48.8307814457623],[2.35723323900778,48.8297330395322],[2.35814718686819,48.8285246941381],[2.35842492053169,48.8280944851622],[2.35725651242031,48.8278453804509],[2.35680779988769,48.8277800118576],[2.35385563926116,48.8274762983298],[2.35371909696965,48.8275025417603],[2.35360968463277,48.8275379254191],[2.35352751376544,48.8275734562383],[2.35281152853599,48.8281901519677],[2.35356259405813,48.8291385562803],[2.35436772726454,48.8301232217076],[2.35458177396412,48.8304391572704],[2.35458960583643,48.8309068728958],[2.35450609405939,48.831050321661],[2.35503386492169,48.8312240494932],[2.35514239405729,48.8312606095576],[2.35557709610037,48.8314698079449],[2.35615387803892,48.8310951783953],[2.35629309365719,48.8308530974633]]]]}"
5028|Paris 13e Arrondissement|751135028|Gare 28|POINT(2.35965005179146 48.8285779378082)|2.359650051791456|48.82857793780824|195.8011272771753|0.0021669867333045712|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35629309365719,48.8308530974633],[2.35670007911619,48.8309901929513],[2.35703740513226,48.8312528245322],[2.3579734422641,48.8315717333667],[2.35807033460016,48.8314472409005],[2.35813931850511,48.8313765608308],[2.35925525069466,48.8302493366272],[2.35965469332139,48.8298917272144],[2.35992999265758,48.8296593641555],[2.36023401567623,48.8294172609892],[2.36074339632702,48.8289801916357],[2.3613215458701,48.8284886255087],[2.3624089383346,48.8275680732052],[2.36364633833356,48.8266303212829],[2.36136084707314,48.8263923950268],[2.36032734343446,48.8262519651522],[2.35996014269108,48.8262050317129],[2.35980936062759,48.826393093355],[2.3594749932901,48.8267780340475],[2.35906062584213,48.8272434886514],[2.35853576927476,48.8279421862602],[2.35842492053169,48.8280944851622],[2.35814718686819,48.8285246941381],[2.35723323900778,48.8297330395322],[2.35634846863777,48.8307814457623],[2.35629309365719,48.8308530974633]]]]}"
5203|Paris 13e Arrondissement|751135203|Croulebarbe 3|POINT(2.34891586141251 48.8332004416743)|2.3489158614125145|48.833200441674286|212.80703004386433|0.002355303670201606|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.349982712986,48.832087081488],[2.34867455503261,48.831243549168],[2.34735008247997,48.8302919879124],[2.34716073279166,48.8301830297332],[2.34706505577058,48.8302085892476],[2.34597137661963,48.8305182933081],[2.34602383216768,48.8306804672379],[2.34704520113344,48.8327725901323],[2.34797175547929,48.8349361326485],[2.34826382242609,48.8356572194158],[2.348603159061,48.8357579984239],[2.34964843410132,48.8360595784548],[2.34989701333823,48.8357911193407],[2.35110780089438,48.8348362691073],[2.35136932917886,48.8346209397328],[2.35156180519569,48.8343710593934],[2.35166154558165,48.8341287703817],[2.35167908285571,48.8338140861271],[2.35168220344064,48.8335631788964],[2.35159211563174,48.833139087289],[2.35051185910532,48.8323687611216],[2.35037653509831,48.8322960765169],[2.349982712986,48.832087081488]]]]}"
4903|Paris 13e Arrondissement|751134903|Salpetriere 3|POINT(2.35845635370901 48.8327702339629)|2.358456353709005|48.832770233962854|168.30899922114628|0.0018628013679426378|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35629309365719,48.8308530974633],[2.35615387803892,48.8310951783953],[2.35557709610037,48.8314698079449],[2.35588495337554,48.8319121580555],[2.35655493919971,48.8328160340389],[2.35684997821277,48.8331944568464],[2.35693082437124,48.8332668411156],[2.35770762092901,48.8343502579417],[2.35786865473884,48.8345489836506],[2.35994916107094,48.8338676211943],[2.361070612317,48.8335138695968],[2.36130160172795,48.8334521474756],[2.36138366638828,48.8334256046034],[2.36186551283395,48.8330144665682],[2.36197581163157,48.8329071306796],[2.36049843165636,48.832403687865],[2.3588269279254,48.8318470224206],[2.3579734422641,48.8315717333667],[2.35703740513226,48.8312528245322],[2.35670007911619,48.8309901929513],[2.35629309365719,48.8308530974633]]]]}"
5202|Paris 13e Arrondissement|751135202|Croulebarbe 2|POINT(2.35040404285944 48.830727672309)|2.3504040428594424|48.830727672309045|148.53500487765393|0.0016439135743345917|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.34843168964118,48.8298571926341],[2.34743405177076,48.8301134708976],[2.34718808837183,48.8301741853239],[2.34716073279166,48.8301830297332],[2.34735008247997,48.8302919879124],[2.34867455503261,48.831243549168],[2.349982712986,48.832087081488],[2.35069779509534,48.8316592674767],[2.35276067201797,48.8311892850554],[2.35442269319328,48.8311847772363],[2.35450609405939,48.831050321661],[2.35422115202128,48.8309588463033],[2.35276921368446,48.8305013117923],[2.35259280334736,48.8304463946562],[2.35063880479227,48.8298332217314],[2.3500008418596,48.8296498815698],[2.34925166785574,48.8296458075302],[2.34885541327902,48.8297425818322],[2.34843168964118,48.8298571926341]]]]}"
5201|Paris 13e Arrondissement|751135201|Croulebarbe 1|POINT(2.35256261912273 48.8334755513889)|2.352562619122729|48.83347555138885|205.41344708668572|0.002273476325663713|"{""type"":""MultiPolygon"",""coordinates"":[[[[2.35187077203516,48.8368046254944],[2.35259559786957,48.8358156490396],[2.35475659985564,48.8328234339093],[2.35535403114395,48.8318823164909],[2.35557709610037,48.8314698079449],[2.35514239405729,48.8312606095576],[2.35503386492169,48.8312240494932],[2.35450609405939,48.831050321661],[2.35442269319328,48.8311847772363],[2.35276067201797,48.8311892850554],[2.35069779509534,48.8316592674767],[2.349982712986,48.832087081488],[2.35037653509831,48.8322960765169],[2.35051185910532,48.8323687611216],[2.35159211563174,48.833139087289],[2.35168220344064,48.8335631788964],[2.35167908285571,48.8338140861271],[2.35166154558165,48.8341287703817],[2.35156180519569,48.8343710593934],[2.35136932917886,48.8346209397328],[2.35110780089438,48.8348362691073],[2.34989701333823,48.8357911193407],[2.34964843410132,48.8360595784548],[2.35019133697643,48.8362244152859],[2.35115442151532,48.8365633088294],[2.35187077203516,48.8368046254944]]]]}"
